数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机教师,4000-6000元,长沙·天心·桂花坪,1-3年,本科,立即投递收藏
智联,计算机,兼职(线上)留学生辅导计算机社会政治哲学,200-250元/时,石家庄·长安·中山东路,经验不限,本科,立即投递收藏
智联,计算机,计算机信息管理专员,1.1-1.5万,德州·宁津县·宁城街道,1-3年,本科,立即投递收藏
智联,计算机,计算机辅助设计师,3000-5000元,安庆·宜秀区·大龙山镇,经验不限,大专,立即投递收藏
智联,计算机,大学计算机教师,7000-9000元,哈尔滨·宾县·宾州,1-3年,硕士,立即投递收藏
智联,计算机,计算机网络管理员,1.2-1.4万,珠海·香洲区·横琴镇,1-3年,大专,立即投递收藏
智联,计算机,计算机公共课教师,5000-7000元,长春·宽城·欣园,经验不限,硕士,立即投递收藏
智联,计算机,计算机技术支持,5000-8000元,泰安·岱岳区·北集坡街道,经验不限,大专,立即投递收藏
智联,计算机,it计算机硬件技术员,7000-8000元,武汉·武昌,1-3年,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,上海·普陀·南京东路,经验不限,学历不限,立即投递收藏
智联,计算机,计算机类专利代理人助理,4000-8000元,洛阳·洛龙·古城,经验不限,本科,立即投递收藏
智联,计算机,计算机网络技术专业教师,5000-8000元,日照·东港区·卧龙山街道,经验不限,本科,立即投递收藏
智联,计算机,计算机维护工程师,7000-11000元,武汉·江夏,1-3年,大专,立即投递收藏
智联,计算机,2027届计算机实习生,120-150元/天,济南·历城·孙村,经验不限,大专,立即投递收藏
智联,计算机,计算机教师,5000-7000元,东莞·厚街镇,经验不限,本科,立即投递收藏
智联,计算机,计算机硬件技术员,5000-6000元,郑州·金水·祭城路,1年以下,大专,立即投递收藏
智联,计算机,计算机技术类教师,360-500元/次,泰安·岱岳区·山口镇,5-10年,本科,立即投递收藏
智联,计算机,专升本计算机基础教师,5000-7000元,大连·甘井子·营城子,1-3年,硕士,立即投递收藏
智联,计算机,计算机硬件维护工程师,1-1.2万,上海·静安·共和新路,1年以下,大专,立即投递收藏
智联,计算机,计算机科学与技术教师,8000-16000元,济南·双山,经验不限,本科,立即投递收藏
智联,计算机,计算机老师(线下专升本),8000-10000元,济南·历城·巨野河,1-3年,硕士,立即投递收藏
智联,计算机,高校计算机讲师（软件工程）,8000-10000元·13薪,日照·东港区·日照街道,经验不限,硕士,立即投递收藏
智联,计算机,计算机硬件维护工程师,150-200元/天,张家口·怀来县·东花园镇,经验不限,大专,立即投递收藏
智联,计算机,计算机教师,6000-8000元,石家庄·元氏·马村,经验不限,硕士,立即投递收藏
智联,计算机,大学计算机讲师,5000-10000元,沈阳·沈北·道义,3-5年,硕士,立即投递收藏
智联,计算机,计算机技术开发岗,7000-12000元,淄博·张店区·和平街道,3-5年,硕士,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-11000元,南京·鼓楼·中央门,1年以下,大专,立即投递收藏
智联,计算机,计算机文员,5000-6000元,沈阳·皇姑·新乐,经验不限,本科,立即投递收藏
智联,计算机,计算机系统管理员（非应届，13薪，早九晚六）,6000-8000元·13薪,杭州·钱塘·白杨,1-3年,本科,立即投递收藏
智联,计算机,计算机软件硬件实习生,2000-3000元,辽源·龙山区·工农乡,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,4000-6000元,焦作·光亚街道,3-5年,学历不限,立即投递收藏
智联,计算机,计算机信息系统技术员,8000-13000元·13薪,深圳·福田·华强北,1-3年,本科,立即投递收藏
智联,计算机,计算机辅助设计师/助理,8000-15000元,深圳·宝安·西乡,经验不限,本科,立即投递收藏
智联,计算机,计算机技术,4000-7000元,郑州·金水·东风路,1年以下,学历不限,立即投递收藏
智联,计算机,计算机管理员,8000-9000元,广州·番禺·大石,1-3年,本科,立即投递收藏
智联,计算机,计算机网络管理员,3000-4000元·13薪,运城·夏县·瑶峰镇,经验不限,大专,立即投递收藏
智联,计算机,5K起招计算机技术支持/助理+双休,5000-10000元,重庆·渝中·上清寺,经验不限,大专,立即投递收藏
智联,计算机,计算机网络管理员,4000-5000元,景德镇·昌江区,1-3年,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,4000-6000元,济南·长清·崮云湖,1-3年,学历不限,立即投递收藏
智联,计算机,计算机网络管理员,1.2-1.4万,广州·白云·嘉禾,1-3年,大专,立即投递收藏
智联,计算机,计算机网络管理员,1.2-1.4万,杭州·余杭·仓前,1-3年,大专,立即投递收藏
智联,计算机,语 数 英 机电 医护 计算机 财税 电商 体育 数媒 艺设,7000-10000元,青岛·即墨·通济,1-3年,本科,立即投递收藏
智联,计算机,计算机与物联网学院专任教师,7000-10000元,重庆·巴南·南泉,3-5年,硕士,立即投递收藏
智联,计算机,计算机硬件销售,8000-16000元,成都·武侯·火车南站,经验不限,大专,立即投递收藏
