job_name,city,education,work_exp,company,salary_avg,data_source
信息部经理,北京,本科,5年及以上,苏州铠策微机械科技,30000,前程无忧
文件整理员,北京,大专,无需经验,北京京铭宏硕科技有限公司西安,7000,前程无忧
无效诉讼专利工程师,北京,本科,3年及以上,北京博思佳知识产权代理,22500,前程无忧
云计算/虚拟化运维工程师,北京,本科,1年及以上,新华网,15000,前程无忧
软件工程师（独立软件）,北京,本科,5年及以上,新鸿电子,30000,前程无忧
ETL 现场面试,北京,本科,3年及以上,深圳市法本信息技术,15500,前程无忧
后端开发工程师（应届）,北京,硕士,无需经验,贝咨曼管理咨询（北京）,7500,前程无忧
后端开发工程师-北京,北京,本科,3年及以上,中电科新型智慧城市研究院,15000,前程无忧
售前解决方案经理,北京,本科,8年及以上,杭州和利时自动化,20000,前程无忧
办公室文员实习生-接受小白,北京,大专,无需经验,天津职升在线咨询,5500,前程无忧
LIMS验证主管,北京,本科,5年及以上,艾万拓生命科学（上海）,8000,前程无忧
销售助理,北京,本科,1年,北京中杉金桥生物技术,9000,前程无忧
项目开发工程师(INC03F07),北京,本科,1年及以上,福建顶点软件,13000,前程无忧
嵌入式软件工程师（电力电子控制方向）,北京,本科,3-5年,成都清电易新能源,20000,前程无忧
软硬件电子工程师,北京,本科,3年及以上,太原国科半导体光电研究院,30000,前程无忧
数据分析（五险一金+补贴）,北京,大专,无需经验,河南腾桓人力资源,11500,前程无忧
算法工程师-2轮远程面试,北京,本科,3-5年,深圳建广数字科技有限公司青岛,20000,前程无忧
开发工程师,北京,本科,1年及以上,北京天舟上元信息技术,19500,前程无忧
Goalng 开发,北京,本科,5-10年,北京好好开车网络科技,40000,前程无忧
数据分析（五险一金，双休）,北京,大专,无需经验,山东星智海人力资源,11500,前程无忧
C# 软件工程师,北京,本科,5年及以上,赛诺联合医疗科技（北京）,16500,前程无忧
技术工程师—五险一金,北京,大专,无需经验,北京欧兴科技,7000,前程无忧
行政网管,北京,大专,无需经验,北京中瓴时代科技,8000,前程无忧
审计见习生,北京,大专,无需经验,中逸会计师事务所,3000,前程无忧
it技术支持,北京,大专,无需经验,北京爱儿美科技,8750,前程无忧
